State,Date,PercCoal,PercLab
ACT | Labor Majority,2013,44,56
QLD | Coalition Majority,2013,59,41
ACT | Labor Majority,2016,45,55
QLD | Coalition Majority,2016,54,46
ACT | Labor Majority,2019,44,56
QLD | Coalition Majority,2019,58,42
ACT | Labor Majority,2022,43,57
QLD | Coalition Majority,2022,62,38
| 50% LINE |,2013,50,50
| 50% LINE |,2014,50,50
| 50% LINE |,2015,50,50
| 50% LINE |,2016,50,50
| 50% LINE |,2017,50,50
| 50% LINE |,2018,50,50
| 50% LINE |,2019,50,50
| 50% LINE |,2020,50,50
| 50% LINE |,2021,50,50
| 50% LINE |,2022,50,50
